notation	description
TG 1200 - TG 1500	Entstehung und Aufbau der Erde
TG 3000 - TG 3900	Tektonik, Strukturgeologie
TG 4000 - TG 4900	Geodynamik
TG 9000	Allgemeine Geologie: Sonstiges
TH	Mineralogie, Petrologie, Geochemie
TH 1000	Mineralogie, Petrologie, Geochemie: Gesamtdarstellungen
TH 1200 - TH 1290	Mineralogie, Petrologie, Geochemie: Methoden
TH 1300 - TH 1310	Kristallographie
TH 1500 - TH 1800	Mineralogie
TH 2000 - TH 2700	Petrologie
TH 4000 - TH 4700	Geochemie
TH 6000 - TH 6200	Angewandte Mineralogie, Petrologie und Geochemie
TI	Weitere Teilgebiete der Geowissenschaften
TI 1000	Bodenkunde
TI 4000	Glaziologie
TI 7000 - TI 7560	Meeresgeologie
TI 8000 - TI 8395	Hydrogeologie
TI 9000 - TI 9100	Speleologie
TK - TN	Historische Geologie
TK 1000	Historische Geologie: Gesamtdarstellungen
TK 1002	Geologische Zeitskala, Stratigraphische Tabelle
TK 1005 - TK 1050	Methoden zur Datierung
TK 1060 - TK 1090	Paläogeografie und Evolution: Zeitalterübergreifende Darstellungen und Methoden
TK 1095	Historische Geologie: Sonstige Teilgebiete und Einzelfragen
TK 1100 - TK 1501	Präkambrium
TK 1700 - TL 1001	Paläozoikum
TL 3600 - TM 2601	Mesozoikum
TM 8000 - TN 9401	Känozoikum
TP	Regionale Geologie
TP 1000	Welt
TP 1500	Mehrere Kontinente, Unzusammenhängende Gebiete
TP 5000	Europa
TP 6400	Asien (ohne GUS)
TP 7000	Afrika
TP 8000	Amerika
TP 9000	Australien, Neuseeland, Ozeanien
TP 9400	Polargebiete
TQ - TX	Paläontologie
TQ 1000	Paläontologie: Gesamtdarstellungen
TQ 1001	Populärwissenschaftliche Bestimmungsbücher
TQ 1002	Fundstätten
TQ 1003	Paläontologische Sammlungen, Museumsführer
TQ 1010	Fossilisation, Taphonomie, Biostratinomie
TQ 1032 - TQ 1048	Methoden, Präparation und Analyse von Fossilien
TQ 1099	Allgemeine Paläontologie: Sonstiges
TQ 1100 - TR 8029	Paläobotanik (Pflanzen, Pilze, Flechten)
TS 1000 - TX 9529	Paläozoologie (Tiere)
TY - TZ	Angewandte Geologie
TY - TZ 8540	Lagerstättenkunde
TZ 9000 - TZ 9730	Ingenieurgeologie
TZ 9900 - TZ 9985	Umweltgeologie
U	Physik
UA 1000	Referateblätter und Zeitschriften
UB	Allgemeine Nachschlagewerke, Bibliografien, Geschichte und Philosophie der Physik
UB 1000	Allgemeine Nachschlagewerke des Fachgebiets
UB 1012	Adressbücher von Firmen und Bezugsquellen
UB 1014	Firmenkataloge
UB 1015	Nomenklaturfragen
UB 1020	Einführung in die Literaturbenutzung im Bereich der Physik
UB 1024	Richtlinien für die Abfassung physikalischer Aufsätze, Vortragstechnik
UB 1025	Zeitschriftentitel-Bibliografien physikalischer Zeitschriften
UB 1027	Forschungsprogramme
UB 1028	Bibliografien von Dissertationen aus dem Gebiet der Physik
UB 1030 - UB 1067	Laufende Bibliografien zu Teilgebieten der Physik
UB 1070 - UB 1107	Retrospektive Bibliografien zu Teilgebieten der Physik
UB 1110 - UB 1399	Sprachwörterbücher für physikalische Terminologie
UB 1400 - UB 1490	Terminologische Fachwörterbücher der Physik
UB 1700	Biobibliografische Nachschlagewerke über Physiker allgemein
UB 1710 - UB 1999	Personalbibliografien,
UB 2005 - UB 2090	Verzeichnis von Forschern einzelner Teilgebiete
UB 2300 - UB 2490	Geschichte der Physik
UB 2502 - UB 2799	Gesammelte Werke und Schriften von Physikern und Astronomen
UB 2800	Anthologien klassischer Abhandlungen mehrerer Physiker und Astronomen
UB 2810 - UB 3099	Klassische Einzelabhandlungen von Physikern und Astronomen
UB 3100 - UB 3399	Biografien von Physikern
UB 3410 - UB 3699	Festschriften und Gedenkschriften für einzelne Physiker und Astronomen
UB 3710 - UB 3999	Festschriften und Gedenkschriften für Körperschaften im Bereich der Physik und Astronomie
UB 4010	Forschungsplanung
UB 4020	Kuriosa, Perpetuum Mobile etc.
UB 4049 - UB 4060	Didaktik der Physik
UB 4070 - UB 4079	Schulbücher
UB 4080	Fortbildung
UB 4090 - UB 4097	Lern- und Prüfungsprogramme für
UB 4100 - UB 4150	Betriebssicherheit
UB 5000 - UB 5340	Populäre Darstellungen
UB 6000 - UB 9000	Physik und Philosophie
UC	Enzyklopädien und Lehrbücher
UC 100	Allgemeine Lehrbücher der Physik
UC 300	Physikalische Aufgabensammlungen, Formelsammlungen, Repetitorien
UC 400	Physikalisches Praktikum
UC 500	Physikalische Enzyklopädien und Lexika
UC 550	Große Physikalische Enzyklopädien und Lexika
UC 600	EDV in der Physik allgemein
UD	Kongresse, Sommerschulen, geschlossen aufgestellte Serien
UD 1900	Kongresse allgemeiner oder theoretisch-physikalischer Thematik
UD 4000 - UD 5999	Sommerschulen, regelmäßige Tagungen mit umfassender Thematik
UD 6100 - UD 9360	Geschlossen aufgestellte Reihenwerke
UD 9450	Topics in applied physics
UD 9460	Topics in current physics
UF	Mechanik, Kontinuumsmechanik, Strömungsmechanik, Schwingungslehre
UF 1000	Mechanik allgemein
UF 1020	Kompendien, Vorlesungen, Repetitorien
UF 1030	Fachlexika und -enzyklopädien
UF 1050	Aufgabensammlungen zum Gesamtgebiet der Mechanik
UF 1070	Tabellen
UF 1090	geschlossen aufgestellte Reihenwerke
UF 1100	Kongresse, Symposien, Sommerschulen zur Mechanik, Kontinuumsmechanik, Hydrodynamik, Schwingungslehre
UF 1200	Statik
UF 1500	Technische Mechanik
UF 1570	Trag- und Stabwerke
UF 1590	Flächentragwerke
UF 1610	Mechanische Beanspruchung, Stabilität
UF 1800	Festigkeitslehre
UF 1900	Kinematik
UF 1950	Dynamik, Kinetik
UF 2000	Kontinuumsmechanik allgemein
UF 3000 - UF 3500	Kontinuumsmechanik der Festkörper
UF 4000 - UF 4750	Strömungsmechanik, Mechanik der Flüssigkeiten und Gase
UF 5000 - UF 5250	Mechanische Schwingungen
UF 6000 - UF 6950	Akustik
UG	Thermodynamik, statistische Physik, Quantenstatistik
UG 1000	Thermodynamik, Klassische Phänomenologie allgemein
UG 1020	Kompendien, Vorlesungen, Repetitorien
UG 1030	Fachlexika und -enzyklopädien
UG 1050	Aufgabensammlungen zur Thermodynamik
UG 1070	Thermodynamische Tabellen
UG 1090	geschlossen aufgestellte Reihenwerke
UG 1100	Kongresse, Symposien, Sommerschulen zum Gesamtgebiet
UG 1200	Angewandte und technische Thermodynamik
UG 1300	Kinetische Gastheorie, Gasdynamik
UG 2000	Thermodynamik irreversibler Prozesse, Relaxation, Spin-Relaxation. Allgemeine Theorie zu Systemen mit Spin und Pseudospin.
UG 2300	Theorie der Transportprozesse allgemein
UG 2500	Wärmeübertragung allgemein
UG 2600	Wärmeleitung
UG 2700	Konvektion
UG 2800	Wärmestrahlung
UG 2850	Wärmeisolierung
UG 2900	Stoffübertragung (Stoffaustausch, Stofftransport)
UG 3000	Entropie und Informationstheorie
UG 3100	Statistische Mechanik, Ising-Modell, Order-Disorder-Modell, Percolation Theory, Cellulare Automaten
UG 3500	Statistische Thermodynamik
UG 3700	Fluktuationen, Rauschen, Reziprokes Rauschen
UG 3800	Theorie der Phasenübergänge
UG 3900	Synergetik, Kooperative und Kollektive Phänomene, spontane Ordnungsprozesse, Verzweigungsprozesse, Chaotische Prozesse, Fraktale, Selbstorganisierende Systeme, Kritische Phänomene
UG 4000	Quantenstatistik
UH	Klassische Felder, Elektrizitätslehre, Optik, Quantenoptik, Laser,  Relativitätstheorie
UH 1000 - UH 4000	Klassische Felder, Elektrizitätslehre
UH 5000 - UH 5500	Physikalische Optik
UH 5600 - UH 8700	Quantenoptik, Laser- und Masertheorie,  Quantenelektronik, Teilchenoptik, Relativitätstheorie
UK	Quantentheorie, Quantenmechanik
UK 1000	Quantentheorie, allgemein Nichtrelativistische Quantentheorie
UK 1020	Kompendien, Vorlesungen, Repetitorien
UK 1030	Fachlexika und -enzyklopädien
UK 1050	Aufgabensammlungen zur Quantenmechanik
UK 1070	Tabellen
UK 1090	geschlossen aufgestellte Reihenwerke
UK 1100	Kongresse, Symposien, Sommerschulen zur Quantentheorie, Quantenmechanik
UK 1200	Physikalische und mathematische Grundlagen der Quantenmechanik
UK 1250	Theorie des Messprozesses
UK 1300	Historisch grundlegende Arbeiten. Quellenschriften, Lehrbücher der älteren Quantenmechanik
UK 1400	Relativistische Quantenmechanik
UK 2000 - UK 7800	Spezielle Methoden der Quantenmechanik
UK 8000 - UK 8500	Quanteninformation
UL	Vielteilchentheorie
UL 1000	Nichtrelativistische Quantentheorie der Vielteilchensysteme
UL 1020	Kompendien, Vorlesungen, Repetitorien
UL 1030	Fachlexika und -enzyklopädien
UL 1050	Aufgabensammlungen zur Vielteilchentheorie
UL 1070	Tabellen
UL 1090	geschlossen aufgestellte Reihenwerke
UL 1100	Kongresse, Symposien, Sommerschulen zur Vielteilchentheorie
UL 2000	Vielteilchenmethoden der Quantenstatistik
UL 3000	Spezielle Anwendungen der Vielteilchenmethoden
UL 3100	Integrable Systeme
UL 4000	Wechselwirkende Fermionensysteme
UL 5000	Drei-Körper-Problem
UL 6000	Vier-Körper-Problem
UM	Atom- und Molekülphysik
UM 1000	Allgemeines
UM 1020	Kompendien, Vorlesungen, Repetitorien
UM 1030	Fachlexika und -enzyklopädien
UM 1050	Aufgabensammlungen zur Atom- und Molekülphysik
UM 1070	Tabellen
UM 1090	geschlossen aufgestellte Reihenwerke
UM 1100	Kongresse, Symposien, Sommerschulen zur Atom- und Molekülphysik
UM 1200	Elektronenstruktur von Atomen und Molekülen,
UM 1300	Korrekturen zur Elektronenstruktur
UM 1400	Experimentell abgeleitete Information über Atome und Moleküle, Instrumente und Verfahren
UM 1500	Sonstiges
UM 2000 - UM 2900	Atomphysik
UM 3000 - UM 6000	Molekülphysik
UN	Kernphysik
UN 1000	Allgemeines, Lehrbücher
UN 1020	Kompendien, Vorlesungen, Repetitorien
UN 1030	Fachlexika und -enzyklopädien
UN 1050	Aufgabensammlungen zur Kernphysik
UN 1070	Tabellen
UN 1090	geschlossen aufgestellte Reihenwerke
UN 1100	Kongresse, Symposien, Sommerschulen zur Kernphysik
UN 1200 - UN 1800	Kernstruktur
UN 1900	Radioaktivität allgemein
UN 2000 - UN 2110	Elektromagnetische und schwache Wechselwirkung von Kernen
UN 2500 - UN 2595	Kernreaktionen und Kernstreuung
UN 3000 - UN 3010	Spezielle Kernreaktionen und Kernstreuung
UN 3020	Fotonukleare Reaktionen und Fotonenstreuung (ohne Spaltung)
UN 3030 - UN 3060	Leptoneninduzierte Reaktionen (ohne Spaltung und Streuung)
UN 3100 - UN 3150	Nukleoneninduzierte Reaktionen (ohne Spaltung und Streuung)
UN 3200 - UN 3220	Reaktionen mit leichten Ionen
UN 3300 - UN 3370	Schwerioneninduzierte Reaktionen (ohne Spaltung und Streuung)
UN 3400 - UN 3430	Mesonen- und hyperoneninduzierte Reaktionen und Streuung
UN 3500 - UN 3600	Kernspaltung
UN 3700	Sonstige spezielle Kernreaktionen
UN 4000 - UN 4102	Eigenschaften spezieller Kerne
UN 5000 - UN 5700	Kerntechnik und Kernenergie
UN 6000	Experimentelle Methoden und Ausrüstung in der Kernphysik allgemein
UN 7000 - UN 7900	Nachweis und Messung radioaktiver und Teilchen-Strahlung
UO	Elementarteilchenphysik, Physik der Felder und Hochenergiephysik
UO 1000 - UO 1100	Elementarteilchen und Felder
UO 1500 - UO 1590	Symmetrie-Eigenschaften und Erhaltungssätze im Bereich der Elementarteilchen und Felder
UO 2000	Streutheorie und S-Matrixtheorie allgemein, Streumatrix und Störungstheorie
UO 2500	Dispersionsrelationen und analytische Eigenschaften der S-Matrix
UO 2600 - UO 2650	Dispersionsrelationen und Summenregeln
UO 2700 - UO 2760	Relativistische Streutheorie
UO 2800 - UO 2820	Spin und Isospin
UO 3000 - UO 3090	Ströme und ihre Eigenschaften, Stromalgebren
UO 4000 - UO 4100	Quantenfeldtheorie
UO 5000 - UO 5590	Theorie und Phänomenologie der Wechselwirkungen von Elementarteilchen
UO 5600 - UO 5690	Quantenelektrodynamik
UO 5700	Quantenchromodynamik allgemein. Theorie der starken Wechselwirkung
UO 5800	Einheitliche Eichfeldtheorien. Unified field theories
UO 5900	Gravitationswechselwirkung
UO 6000	Eigenschaften einzelner Elementarteilchen und Resonanzen allgemein
UO 9500	Kosmische Strahlung
UP	Festkörperphysik
UP 1000	Lehrbücher
UP 1020	Kompendien, Vorlesungen, Repetitorien
UP 1030	Fachlexika und -enzyklopädien
UP 1050	Aufgabensammlungen zur Festkörperphysik
UP 1070	Tabellen
UP 1090	geschlossen aufgestellte Reihenwerke
UP 1100	Kongresse, Symposien, Sommerschulen zur Festkörperphysik
UP 1200	Gruppentheorie in der Festkörperphysik (nur endliche Gruppen)
UP 1300	Sonstige mathematische Methoden bezogen auf die Festkörperphysik z.B. Eichfeldtheorie, Vielteilchentheorie
UP 1400	Tunneleffekte und Tunnelspektroskopie allgemein
UP 1410	Josephsoneffekt
UP 1420	Proximity-Effekt
UP 1500	Gitterdynamik, Phononen allgemein, Kristallstatistik
UP 1800	Ultraschall allgemein
UP 2000	Neutronenphysik, Neutronenspektroskopie
UP 2100	Theorie der Gitterfehler (Versetzungen, Punktdefekte)
UP 2200 - UP 2280	Supraleitung allgemein, Zwei-Flüssigkeiten-Theorie, einschl. spezielle Hochtemperatursupraleiter, BCS-Theorie
UP 2300	Tieftemperaturphysik Tieftemperaturtechnik s. UX 3300
UP 2500	Hochdruckphysik allgemein und Verhalten von Festkörpern und Flüssigkeiten bei hohen Drucken und extremen Bedingungen
UP 2800 - UP 3500	Halbleiterphysik, Halbleitertheorie
UP 3600 - UP 4400	Elektronische Zustände im Festkörper
UP 4500 - UP 5500	Elektrische Eigenschaften, Festkörper in äußeren Feldern
UP 6000 - UP 6900	Magnetismus
UP 7500 - UP 7990	Physik dünner Schichten und Grenzflächen
UP 8000 - UP 9500	Optische Eigenschaften, optische Wechselwirkungen
UQ 1000 - UQ 5600	Kristallographie
UQ 1000	Lehrbücher der Kristallographie und Mineralogie
UQ 1020	Kompendien, Vorlesungen, Repetitorien
UQ 1030	Fachlexika und -enzyklopädien
UQ 1050	Aufgabensammlungen zur Mineralogie und Kristallographie
UQ 1070	Tabellen
UQ 1090	geschlossen aufgestellte Reihenwerke
UQ 1100	Kongresse, Symposien, Sommerschulen zur Kristallographie, Mineralogie
UQ 1200	Geometrische Kristallographie
UQ 1220	Kristallzeichnen
UQ 1225	Atlas der Kristallformen
UQ 1250	Stereographische Projektion
UQ 1300	Symmetrielehre
UQ 1350	Kristallographische Gruppentheorie
UQ 1800	Ind.-Sign.: American Crystallographic Association Transactions
UQ 2000 - UQ 2800	Kristallwachstum, Kristallzucht, Kristallisation
UQ 3000 - UQ 3600	Chemische Kristallographie, Kristallchemie, Strukturchemie
UQ 4000 - UQ 4640	Kristallphysik
UQ 5000 - UQ 5600	Kristallstrukturbestimmung
UQ 6000 - UQ 6800	Mineralogie
UQ 6000 - UQ 6040	Allgemeines
UQ 6100 - UQ 6110	Spezielle Mineralogie, Systematik
UQ 6120	Mineralienbildbände
UQ 6140 - UQ 6190	Edelsteinkunde
UQ 6200 - UQ 6240	Untersuchung, Bestimmung und Messung von Mineralien
UQ 6400	Geochemie
UQ 6800	Technische Mineralogie
UQ 7000 - UQ 7740	Metallkunde, Metalle und Legierungen
UQ 7000	Allgemeines
UQ 7020	Theoretische Metallkunde
UQ 7040	Metallkunde-Praktika
UQ 7050	Atlas der Interferenzschichten-Metallographie
UQ 7100	Metallurgie, Allgemeine Lehrbücher
UQ 7200	Tabellen von Kristallstrukturen, Gitterkonstanten, Phasendiagramme von Metallen
UQ 7250	Intermetallische Verbindungen (hier keine Legierungen)
UQ 7300	Physikalische Untersuchung von Metallen
UQ 7320	Chemische Analyse von Metallen
UQ 7340	Texturen von Metallen
UQ 7360	Gitterfehler bei Metallen
UQ 7380	Strahlenschäden von Metallen
UQ 7400	Mechanische Eigenschaften von Metallen, Ermüdung, Bruch
UQ 7500	Korrosion
UQ 7520	Pulvermetallurgie
UQ 7600	Einzelne Metalle und Legierungen, Superplastische Legierung (Gmelin Kennzahl)
UQ 7720	Flüssige Metalle
UQ 7740	Gasförmige Metalle, Metalldampf
UQ 8000 - UQ 8800	Materialwissenschaft
UQ 8000	Allgemeine Lehrbücher
UQ 8010	Werkstoffprüfung
UQ 8025	Mechanische Eigenschaften kondensierter Stoffe
UQ 8050	Einzelne Berichte zur Materialwissenschaft
UQ 8100	Serienwerke
UQ 8200	Einzelne anorganische Materialien
UQ 8300	Einzelne organische Materialien
UQ 8320	Faser
UQ 8400	Hochtemperaturmaterialien
UQ 8420	Verbundwerkstoffe, Komposite
UQ 8440	Hartstoffe und hochfeste Werkstoffe allgemein
UQ 8500	Keramische Werkstoffe (Oxide, Karbide)
UQ 8520	Keramische Phasendiagramme
UQ 8600	Gläser und metallische Gläser, rapidly quenched materials
UQ 8700	Flüssige Kristalle
UQ 8750	Quasikristalle
UQ 8800	Amorphe Materialien, Nichtkristalline Festkörper
UR	Physik der Flüssigkeiten und Gase, Plasmaphysik
UR 1000 - UR 4800	Physik der Flüssigkeiten
UR 5000 - UR 9000	Physik der Gase und Plasmen
US	Astronomie, Astrophysik
US 1000	Allgemeines
US 1020	Kompendien, Vorlesungen, Repetitorien
US 1030	Handbücher, Fachlexika und -enzyklopädien
US 1040	Astronomische Daten und Konstanten
US 1050	Aufgabensammlungen zur Astronomie und Astrophysik
US 1080	Veröffentlichungen von astronomischen Einrichtungen
US 1090	geschlossen aufgestellte Reihenwerke
US 1092	Indiv.-Sign.: International Astronomical Union: Transactions
US 1094	Indiv.-Sig.: Reviews in Modern Astronomy
US 1096	Indiv.-Sign.: Vistas in astronomy
US 1100	Kongresse, Symposien, Sommerschulen zur Astronomie, Astrophysik
US 1200	Himmelsmechanik allgemein
US 1250	Bahnbestimmung (Orbit Determination) von natürlichen und künstlichen Himmelskörpern
US 1400 - US 1900	Praktische Astronomie, Beobachtende Astronomie (Observational Astronomy)
US 2000 - US 8950	Astrophysik,  Kosmologie
US 9000 - US 9600	Weltraumforschung
US 9800	Astrobiologie
UT 1000 - UT 2970	Physik des festen Erdkörpers - Geophysik
UT 1000 - UT 1300	Geophysik allgemein
UT 1400 - UT 2250	Allgemeine Geophysik
UT 2300 - UT 2850	Angewandte Geophysik, geophysikalische Methoden
UT 2900 - UT 2970	Regionale Geophysik
UT 3000 - UT 4800	Physik der Hydrosphäre - Hydrologie
UT 3000	Allgemeines
UT 3100	Mechanik und Dynamik der Hydrosphäre
UT 3500	Thermodynamik der Hydrosphäre
UT 3900	Akustik der Hydrosphäre
UT 4300	Optik der Hydrosphäre
UT 4700	Sonstige Pänomene der Hydrosphäre
UT 4800	Ozean-Atmosphäre-Wechselwirkung
UT 5000 - UT 9800	Physik und Chemie der Atmosphäre - Meteorologie
UT 5000 - UT 5090	Meteorologie und Klimatologie allgemein
UT 5100 - UT 6600	Allgemeine Meteorologie
UT 8000 - UT 8600	Angewandte Meteorologie
UT 8700 - UT 8970	Klimatologie
UT 9000 - UT 9800	Chemie der Atmosphäre; Aerosole
UV	Polymerphysik
UV 1000	Polymerphysik allgemein, zusammenfassende Darstellungen des Gesamtgebietes der
UV 1020	Kompendien, Vorlesungen, Repetitorien
UV 1030	Fachlexika und -enzyklopädien
UV 1050	Aufgabensammlungen zur Polymerphysik
UV 1070	Tabellen
UV 1090	geschlossen aufgestellte Reihenwerke
UV 1100	Kongresse, Symposien, Sommerschulen zur Polymerphysik
UV 2000 - UV 2900	Freie Polymermoleküle und Polymermoleküle in Lösung
UV 3000 - UV 3600	Struktur der kondensierten Polymeren
UV 4000 - UV 4600	Kontinuumsmechanik der Polymeren
UV 5000 - UV 5500	Elektrische und optische Eigenschaften der Polymeren
UV 6000	Thermisches und Kalorisches Verhalten der Polymeren
UV 7000 - UV 7200	Grenzflächen-Phänomene bei Polymeren
UV 8000	Farbmetrik und Färbung bei Polymeren
UV 9000 - UV 9900	Spezielle polymere Substanzgruppen und deren Technologie
UX	Experimentelle Methoden der Physik und physikalische Technologie
UX 1100	Theorie und Auswertung der Messung allgemein, Meßmethoden und Messtechnik allgemein
UX 1200	Maßsystem, Normen, Einheiten
UX 1300	Methoden der Experimentalphysik allgemein
UX 1320	Spektroskopische Methoden
UX 1350	Computereinsatz in der Experimentalphysik
UX 1380	Sonstige Methoden (z.B. physikalische Altersbestimmung)
UX 1400	Werkstatt-Technik
UX 1450	Maschinenbautechnik, Feinmechanik
UX 1500	Vakuumtechnik
UX 2000	Primärenergie, Sonnenenergie, Windenergie, Wärmepumpentechnik, Biogas
UX 2100	Grundlagen der Elektronik
UX 2150	Elektronische Bauelemente
UX 2200	Elektronische Schaltkreise, Verstärkertechnik
UX 2250	Impulssysteme (Signale und Störungen)
UX 2300	Digitale Elektronik
UX 2350	Mikroelektronik
UX 2500	Mikrowellenphysik, Nachrichtentechnik
UX 3000	Temperaturtechnik allgemein
UX 3300	Tieftemperaturtechnik
UX 3600	Hochtemperaturtechnik
UX 6000	Hochdrucktechnik
UX 9000	Regelungstechnik
V	Chemie und Pharmazie
VA	Referateorgane, Zeitschriften, Handbücher
VA 1040 - VA 1045	Chemical Abstracts
VA 1060 - VA 1080	Beilsteins Handbuch der Organischen Chemie
VA 1097 - VA 1097	Gmelin Handbuch der Anorganischen Chemie
VA 1110	Fortschritte der chemischen Forschung - Topics in Current Chemistry
VA 1120	Zeitschriften
VB	Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit
VB 1010 - VB 1999	Bibliografien und Nachschlagewerke
VB 2000	Populärwissenschaftliche Darstellung; Trivialliteratur; Jugendsachbuch
VB 2100	Grenzfragen von Naturwissenschaften und Philosophie Ethik in der chemischen Forschung. Allgemeine Betrachtungen über die chemische und pharmazeutische Forschung
VB 2300 - VB 2489	Geschichte der Chemie und Pharmazie
VB 2510 - VB 2799	Gesammelte Werke von Chemikern und Pharmazeuten
VB 2800	Anthologien klassischer Abhandlungen
VB 2810 - VB 3099	Klassische Einzelabhandlungen
VB 3100	Biografien und biografisches Material über mehrere Chemiker und Apotheker
VB 3110 - VB 3399	Biografien und Autobiografien von Chemikern und Apothekern (Pharmazeuten);
VB 3410 - VB 3699	Festschriften und Gedenkschriften für einzelne Chemiker und Pharmazeuten
VB 3710 - VB 3999	Festschriften und Gedenkschriften für Körperschaften im Bereich der Chemie und Pharmazie
VB 4010 - VB 4019	Forschungsplanung; Chemische Industrie; Pharmazeutische Industrie
VB 4045 - VB 4095	Didaktik und Methodologie in der Chemie und Pharmazie allgemein
